fen,score,move
r1bqkb1r/3npppp/p4n2/1p1P4/3P4/2N5/PP2BPPP/R1BQK1NR b KQkq -,0,b5b4
rn2kr2/pp1qb1pp/2p5/3n4/2B5/6B1/PPP1Q1PP/R4R1K b - -,99,f8f7
r4r1k/pp2n1bp/2n5/q3p1B1/4B1bP/P1N2N2/1P3PP1/R2QK2R b KQ -,50,a8e8
4k3/3Q2R1/8/8/P7/7P/5PPK/8 b - -,mate 1,e8f8
6k1/5pp1/4p2p/p2p2b1/8/1r5P/6K1/R7 b - -,-974,g5f6
r2q1rk1/1pp1b1pp/1n2bp2/pP2p3/3n4/P1NP2P1/3NPPBP/1RBQ1RK1 b - -,-3,d8c8
4k3/R7/6p1/5r1p/5P1K/6P1/7P/8 w - -,665,a7g7
rnbq1rk1/1pp1bppp/p3pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ -,30,c4d5
r1bqkbnr/pppn1ppp/4p3/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,52,d7b6
3r3r/pp3kp1/3qp3/2b4p/2Bn2n1/2N1B2Q/PP3PPP/3R1RK1 b - -,202,d6c6
8/8/8/k7/8/1Q2K3/8/8 w - -,mate 4,b3b7
5rk1/pp3ppp/5q2/8/4n3/8/bP2BPPP/2Q1BRK1 w - -,7,c1e3
r1bqk2r/pppnppb1/3p2pp/8/3P4/2P1PNP1/PP1N1PP1/R2QKB1R w KQkq -,-16,a2a4
8/8/3Q4/k7/7R/4K3/8/8 w - -,mate 2,d6b8
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/5N2/PPPNPPPP/R2QKB1R b KQkq -,0,c7c5
5k2/5p1p/6p1/2Pb1p2/3P4/rp1B4/4KPPP/1R6 b - -,-81,f5f4
8/4K3/r7/2k5/8/8/8/8 b - -,mate -9,c5d5
r1bqk3/ppp2p2/2n2nrp/4p1B1/3Pp2Q/P1P5/2P1NPPP/R3KB1R w KQq -,0,g5h6
r4rk1/pp2nppp/1bp2n2/8/4P3/2PB1NqP/PP3P2/RNBQ1R1K b - -,-345,g3h3
r1b2rk1/p2npp1p/2pp1npQ/qp2P3/3P2P1/2N2P2/PPP5/2KR1BNR b - -,442,d6e5
7R/8/8/8/6kn/8/5K2/8 w - -,9,h8b8
rn1qkb1r/1b2pppp/p1p2n2/1p2N3/P2P4/1p4P1/4PPBP/RNBQK2R w KQkq -,37,e1h1
8/8/8/1q2QK1k/4P3/8/8/8 b - -,mate 16,b5f1
r1bqkbnr/pppp1ppp/6n1/3PP3/5P2/2N5/PPP3PP/R1BQKB1R w KQkq -,-46,d1e2
r1bqrbk1/1pp2pp1/p1np1n1p/4p3/B3P3/2PP1N2/PP3PPP/R1BQRNK1 w - -,21,f1g3
2rr4/5p1k/1pn3pp/p2qb3/4p1PP/P1R1B3/1PQNPP2/3R2K1 b - -,-384,d5e6
8/8/8/k7/3K4/1Q6/8/8 b - -,mate 3,a5a6
r1bqkb1r/pp2pp1p/2n2np1/3P4/3P4/1PN5/P4PPP/R1BQKBNR b KQkq -,-77,f6d5
rnbqk2r/ppppppbp/5np1/6B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq -,16,d7d5
5k2/3Q2R1/8/8/P7/7P/5PPK/8 w - -,mate 1,d7f7
r2qkb1r/1p2pppp/p1np1n2/2p4b/4P3/2NPBN1P/PPP1BPP1/R2QK2R w KQkq -,64,g2g4
3qr1k1/r1p2pp1/1p1p1nnp/p2Pp3/1PP1P3/P5NP/5PP1/RN1QR1K1 b - -,-132,a5b4
2R5/5pkp/6p1/4p3/7P/r5P1/4KP2/8 b - -,-11,a3a7
r1b2r2/1pq3p1/p1n1pP2/2bp2k1/8/2BQ4/PPP2P1P/R4RK1 w - -,510,h2h4
r1bqkb1r/3npppp/p4n2/3P4/1p1P4/2N5/PP2BPPP/R1BQK1NR w KQkq -,6,c3a4
rnbqk2r/ppp1bppp/4pn2/3p4/3P1B2/5N2/PPPNPPPP/R2QKB1R w KQkq -,14,c2c3
r1bqk1nr/ppppbppp/2n5/3Q4/2B1P3/2P2N2/P4PPP/RNB1K2R b KQkq -,347,g8h6
1k6/1pp5/4N2r/3P4/p1P5/7P/3K4/8 w - -,-575,c4c5
5Q2/1k3p2/3bqP2/2Rp4/3P1p2/2p4P/2P3P1/7K w - -,0,f8d8
1rk5/R7/4PK2/8/8/8/8/8 b - -,709,b8b6
5rk1/pp3ppp/4q3/8/4n3/4Q3/bP2BPPP/4BRK1 w - -,17,e3a7
2k5/p7/1p1Q4/2pP1P2/4p3/P6K/1q6/8 w - -,577,f5f6
8/2B5/8/1k6/2p5/2r4R/8/6rK w - -,mate -52,h1g1
R7/P5k1/5r2/2K5/8/8/8/8 b - -,0,f6f5
rnbqkb1r/pp1ppppp/8/2pP4/4n3/2P2N2/PP2BPPP/RNBQK2R b KQkq -,-41,e4f6
r4rk1/pp2nppp/1bp2n2/8/4P3/2PB1N1q/PP3P2/RNBQ1R1K w - -,-340,f3h2
r1bqk1nr/ppp1bppp/2np4/3Q4/2B1P3/2P2N2/P4PPP/RNB1K2R w KQkq -,mate 2,d5f7
6Q1/8/B3k3/8/8/4K3/8/8 b - -,mate 5,e6f6
r2r2k1/1p3ppp/2n5/qN1p4/1B2nP2/pP1BP3/P1R1QP1P/1KR5 b - -,-138,c6b4
2R5/r4pkp/6p1/4p3/7P/6P1/4KP2/8 w - -,-8,c8e8
r1bqrbk1/2p2pp1/p1np1n1p/1p2p3/B3P3/2PP1NN1/PP3PPP/R1BQR1K1 w - -,25,a4b3
3r1r1k/pp2n1bp/2n5/q3p1B1/4B1bP/P1N2N2/1P3PP1/R2QK2R w KQ -,100,d1a4
8/3R4/8/B1P5/1P2k3/6p1/P5PP/6K1 w - -,mate 8,h2g3
6Q1/4k3/B7/8/8/4K3/8/8 w - -,mate 5,g8g7
rnb1kbnr/pp2pppp/8/2pq4/8/N1P5/PP1P1PPP/R1BQKBNR b KQkq -,3,b8c6
1r1k4/R7/4PK2/8/8/8/8/8 w - -,mate 10,f6f7
4k2r/8/8/8/8/8/8/4K3 w - -,mate -14,e1e2
1k6/1pp5/7r/2NP4/p1P5/7P/3K4/8 b - -,-575,a4a3
3r2k1/pp3ppp/4q3/8/1B2n3/4Q3/bP2BPPP/5RK1 w - -,33,e3a7
r2q1rk1/1p2b1pp/1np1bp2/pP2p3/3n4/P1NP2P1/3NPPBP/1RBQ1RK1 w - -,30,b5c6
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,10,e8h8
r1bqk1nr/pppp1ppp/2n5/2b1p3/2P1P3/2NP4/PP3PPP/R1BQKBNR b KQkq -,-39,d7d6
1r1k4/R4K2/4P3/8/8/8/8/8 b - -,mate 9,d8c8
r3k2r/pppqnpbp/3p1np1/3Pp1N1/2P1P3/2N3Pb/PP2BP1P/R1BQK2R w KQkq -,148,f2f3
r1b1k3/ppp2p1p/2nq1nr1/4p1B1/3Pp2Q/P1P5/2P1NPPP/R3KB1R w KQq -,5,e2g3
8/3R4/2P5/B7/1P2k3/6p1/P5PP/6K1 b - -,mate 7,g3h2
r1bqk1nr/ppp1bQpp/2np4/8/2B1P3/2P2N2/P4PPP/RNB1K2R b KQkq -,mate 1,e8d7
2r2rk1/4pp1p/3p2p1/q2P1b1P/1p1Q2P1/1B3P2/1PP5/2KR3R b - -,-472,f5c2
r2q1rk1/5ppp/p1npbb2/3Np3/1pP1P2P/6P1/PPN2P2/R2QKB1R b KQ -,0,a6a5
4r1k1/4q1p1/2bp3r/b3p1NQ/p1P1P2P/Pp5B/1P2R3/1K5R w - -,-66,h5f3
rnbqkb1r/5p2/2p1pp1p/pp6/2pP4/2N2NP1/PP2PPBP/R2Q1RK1 w kq -,0,a2a4
2rr4/5p1k/1pn3pp/p2q4/4p1PP/P1b1B3/1PQNPP2/3R2K1 w - -,-415,b2c3
r1bqk2r/pppnppb1/3p2pp/8/3P4/2PBPNP1/PP1N1PP1/R2QK2R b KQkq -,-11,a7a5
r4rk1/pp2nppp/1bp2n2/8/4P3/2PB3q/PP3P1N/RNBQ1R1K b - -,-358,f8d8
r1bqrbk1/2p2pp1/p1np1n1p/1p2p3/4P3/2PP1NN1/PPB2PPP/R1BQR1K1 b - -,10,d6d5
7Q/4k3/B7/8/8/4K3/8/8 b - -,mate 6,e7f7
8/3R4/2P5/B7/1P2k3/8/P5Pp/6K1 w - -,mate 7,g1h2
3r4/8/1p1rpk1p/2n2pp1/pNP5/PbR2P1P/1P2B1P1/1R2K3 b - -,-253,h6h5
r3k2r/p1ppqpbp/b1p3p1/3nP3/2P2P2/6P1/PP2Q2P/RNB1KB1R w KQkq -,-32,e2d2
8/5p1p/2k3p1/2b1p3/K7/1P2B3/5PPP/8 w - -,403,e3c5
r1bqkbnr/pppp1ppp/3P2n1/4P3/5P2/2N5/PPP3PP/R1BQKB1R b KQkq -,-84,c7d6
r1bqk2r/pppnppbp/3p1np1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,59,h2h3
8/5p1p/2k3p1/2B1p3/K7/1P6/5PPP/8 b - -,512,c6c5
7Q/8/B2k4/8/8/4K3/8/8 w - -,mate 7,h8c8
r1bq2nr/pppkbQpp/2np4/8/2B1P3/2P2N2/P4PPP/RNB1K2R w KQ -,mate 1,c4e6
8/3R4/2P5/B7/1P2k3/8/P5PK/8 b - -,mate 6,e4f5
r1b2rk1/p4ppp/4pn2/2q5/2p5/4B1P1/PPQ1PP1P/RN3RK1 b - -,2,c5h5
4r1k1/p1p2ppp/2p1Pq2/8/8/5P2/PPP2QPP/2Kr2NR w - -,0,c1d1
rnbqkbnr/ppp1pppp/8/3p4/5P2/1P6/P1PPP1PP/RNBQKBNR b KQkq -,-31,c8g4
r1b2rk1/ppn1ppbp/5np1/2P5/2P5/5N1P/PP3PP1/RNBBR1K1 b - -,15,c7e6
rnbqkb1r/ppp2ppp/8/3pP3/4N3/8/PPPP2PP/R1BQKBNR b KQkq -,-48,d5e4
8/8/Q7/2k5/8/4K3/8/2R5 b - -,mate 2,c5d5
4R3/r4pkp/6p1/4p3/7P/6P1/4KP2/8 b - -,-8,f7f6
8/3R4/2P5/B4k2/1P6/8/P5PK/8 w - -,mate 6,c6c7
r1bqkb1r/pp2pp1p/2n2np1/3p4/2PP4/1PN2N2/P4PPP/R1BQKB1R b KQkq -,-41,f8g7
rnb1kb1r/pp2pppp/5n2/2pq4/8/N1P5/PP1P1PPP/R1BQKBNR w KQkq -,14,g1f3
6k1/5pp1/4p2p/p2p2b1/8/1r5P/6K1/7R w - -,-1048,h1a1
8/4K3/r7/3k4/8/8/8/8 w - -,mate -8,e7f7
r3kb1r/p2p1ppp/2p1pn2/q7/2b5/P1N1P1P1/1P1B1PBP/R2QK2R w KQkq -,-45,c3d5
8/8/Q7/8/1k6/4K3/8/2R5 w - -,mate 2,a6b6
r1b1k2r/pppp1pp1/2nb1q1p/4p3/2B1P3/2NP1N2/PPP2PPP/R2QK2R w KQkq -,42,c3d5
2r4r/4kpp1/p3p3/P7/1pN1P3/3q1K2/1P4P1/R7 w - -,mate -6,c4e3
4B2k/6b1/p2p4/1p6/7P/1P6/K1b5/2R5 b - -,278,c2e4
r1b2rk1/1pq1bppp/p2p1n2/4p3/3BPP2/2NB4/PPP1Q1PP/R4R1K w - -,38,d4e3
rnbqkb1r/ppp2ppp/8/4P3/4p3/8/PPPP2PP/R1BQKBNR w KQkq -,-57,d2d4
r1bqk2r/ppp2ppp/2n5/3p4/1b1PnB2/2N2N2/PP2PPPP/2RQKB1R w Kkq -,0,f3d2
rnbqkbnr/1pp2pp1/p2p3p/3Pp3/4P3/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,83,f8e7
r2qr1k1/ppp2p1p/1b1p1np1/8/3NP3/2N1B3/PPP3QP/3K1B1R w - -,0,e3f2
rnbq1rk1/ppp1bppp/4pn2/3pN3/3P1B2/8/PPPNPPPP/R2QKB1R w KQ -,12,e2e3
r1bqr1k1/pppp1ppp/1bn2n2/1B2p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 w - -,0,d4d5
8/7R/8/8/6k1/5n2/5K2/8 w - -,9,h7a7
4R3/r5kp/5pp1/4p3/7P/6P1/4KP2/8 w - -,-7,e2f3
r1bqkb1r/p1p2ppp/5n2/1p1Pp1N1/3n4/1B6/PPPP1PPP/RNBQ1RK1 b kq -,-52,f8c5
q3r1k1/r1p2pp1/1p1p1nnp/p2Pp3/1PP1P3/P5NP/5PP1/RN1QR1K1 w - -,60,b1c3
r1b2rk1/pp1n1pbp/1q1p1np1/2pP2B1/2P4N/2N5/PP1QBPPP/R4RK1 w - -,103,f1e1
7Q/8/B7/2k5/5K2/8/8/8 w - -,mate 5,h8c3
2r4r/4kpp1/p3p3/P7/1p2P3/3qNK2/1P4P1/R7 b - -,mate -6,c8c2
R7/P5k1/r7/2K5/8/8/8/8 w - -,0,c5b5
1r6/1pp1kpp1/p4n1p/8/2PN4/5PP1/P1P3KP/1R6 w - -,464,d4c6
rnbqk2r/ppp2ppp/3b1n2/1B1p4/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,-15,c7c6
r2r2k1/1p3ppp/8/qN1p4/1n2nP2/pP1BP3/P1R1QP1P/1KR5 w - -,-154,c2c7
4r1k1/p1p2ppp/2p1P3/8/8/5P2/PqP2QPP/3K2NR w - -,0,f2d2
8/2Q5/8/1k6/7R/4K3/8/8 w - -,mate 3,c7d6
1k6/1pp5/7r/2NP4/2P5/p6P/2K5/8 b - -,-625,b7b5
r1r3k1/1p2qppp/4bn2/4p3/1n2P3/R1N1BP2/1PQ1B1PP/5RK1 w - -,21,c2d2
2r2rk1/4pp1p/3p2p1/q2P3P/1p1Q2P1/1B3P2/1Pb5/2KR3R w - -,-483,b3c2
8/2PR4/8/B7/1P2k3/8/P5PK/8 w - -,mate 5,c7c8q
rnb1kb1r/pp2pppp/5n2/2pq4/8/N1P2N2/PP1P1PPP/R1BQKB1R b KQkq -,10,b8c6
rnbqk2r/pp3ppp/2pb1n2/1B1p4/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,-15,b5d3
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq -,50,g1f3
r1b2rk1/p2npp1p/2p2npQ/qp2p3/3P2P1/2N2P2/PPP5/2KR1BNR w - -,466,g4g5
7Q/8/B7/2k1K3/8/8/8/8 b - -,mate 5,c5b4
8/8/Q7/8/1k6/4K3/8/1R6 b - -,mate 2,b4c5
rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,94,b1c3
r1bqkbnr/ppp2ppp/1n2p3/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,65,a2a4
8/7R/3k2p1/P5P1/7P/2P5/1r6/4K3 w - -,672,h7h6
7Q/8/B7/4K3/1k6/8/8/8 w - -,mate 5,h8b8
R7/2q2ppk/4b1n1/3p2B1/3P2P1/p1p4Q/Pb3PP1/5NK1 b - -,mate 2,g6h4
r3kb1r/p2p1ppp/2p1pn2/q2N4/2b5/P3P1P1/1P1B1PBP/R2QK2R b KQkq -,-42,a5d8
8/8/Q7/2k5/8/4K3/8/1R6 w - -,mate 2,b1b5
R7/P5k1/r7/1K6/8/8/8/8 b - -,0,a6a1
2rk4/R4K2/4P3/8/8/8/8/8 w - -,mate 1,e6e7
r1b1k1nr/2qp1ppp/p1p1p3/8/1b1QP1P1/2N1B3/PPP2P1P/R3KB1R b KQkq -,104,b4f8
5r2/p5k1/1np2qPp/P3p3/2p4N/3r2P1/2Q2P1R/1R3K2 b - -,-13,b6d5
6k1/R7/6p1/5r1p/5P1K/6P1/7P/8 w - -,34,a7e7
8/5K2/r7/3k4/8/8/8/8 b - -,mate -8,d5e5
rnbqk2r/ppppppb1/5npp/6B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,28,g5d2
rnbqkb1r/ppp2ppp/8/4P3/3Pp3/8/PPP3PP/R1BQKBNR b KQkq d3,-68,e4d3
r1bqkbnr/pp1p1ppp/3P2n1/8/5P2/2N5/PPP3PP/R1BQKB1R b KQkq -,-66,d8f6
r1bq1rk1/pppnbppp/4pn2/3pN3/3P1B2/4P3/PPPN1PPP/R2QKB1R w KQ -,19,c2c3
r2r2k1/pp2nppp/1bp2n2/8/4P3/2PB3q/PP3P1N/RNBQ1R1K w - -,-338,d1f3
4r1k1/1p3p1p/5p2/3q4/Q7/8/1P3PPP/5RK1 b - -,0,e8e4
6k1/5pp1/p3p2p/3p2b1/8/5K1P/1r6/7R b - -,-1048,e6e5
8/1Q6/8/k7/7R/4K3/8/8 w - -,mate 2,b7b3
r1r3k1/1p2qppp/4bn2/4p3/1n2P3/R1N1BP2/1P1QB1PP/5RK1 b - -,8,a8a3
8/8/4k3/8/1Q2K3/8/8/8 w - -,mate 6,b4c5
rn2kb1r/pp2pppp/5n2/2pq4/6b1/N1P2N2/PP1P1PPP/R1BQKB1R w KQkq -,16,f1c4
8/8/3k2pR/P5P1/7P/2P5/1r6/4K3 b - -,675,d6d5
rnbq1rk1/ppp2ppp/4pb2/3P4/3P4/2N1P3/PP3PPP/R2QKBNR b KQ -,-11,e6d5
6k1/4R3/6p1/5r1p/5P1K/6P1/7P/8 b - -,3,f5a5
r2r2k1/1pR2ppp/8/qN1p4/1n2nP2/pP1BP3/P3QP1P/1KR5 b - -,-139,g7g6
rnbqk2r/pp3ppp/2pb1n2/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,-20,e8h8
6k1/2b1r2p/3pn1b1/3Q3p/8/2P5/5PPP/R5K1 b - -,87,g6f7
2Q5/3R4/8/B4k2/1P6/8/P5PK/8 w - -,mate 4,c8c5
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/3B3P/PPP2PP1/RNBQK1NR w KQkq -,45,c2c3
rnbqkb1r/pppppppp/7n/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -,93,c7c6
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N5/PPPPBPPP/R1BQK2R b KQkq -,15,d8d4
r1bk4/pp4Qp/2p5/3N1P2/4p3/1P6/1PP3PP/2KR4 b - -,mate 3,c6d5
r1bqkb1r/pp2pppp/2nn4/6N1/8/8/PPP2PPP/RNBQKB1R w KQkq -,-29,b1c3
r1b2rk1/pp2ppbp/4nnp1/2P5/2P5/5N1P/PP3PP1/RNBBR1K1 w - -,13,b1c3
rnbqk2r/ppppppb1/5npp/8/2PP3B/2N5/PP2PPPP/R2QKBNR b KQkq -,4,c7c5
6r1/R7/4k3/1pp1p3/p2pPrp1/P2P1PR1/1PPK2P1/8 b - -,14,g8h8
2r3k1/1p2qppp/4bn2/4p3/1n2P3/r1N1BP2/1P1QB1PP/5RK1 w - -,10,b2a3
r1bqk1r1/ppp2p1p/2n1pn1Q/8/3Pp3/P1P5/2P1NPPP/R1B1KB1R b KQq -,0,e6e5
r1bq1rk1/pppnbppp/4pn2/3pN3/3P1B2/3BP3/PPPN1PPP/R2QK2R b KQ -,21,d7e5
r2qkb1r/5ppp/p1np1n2/1p2pP2/2b1P3/2N1B3/PPP3PP/R1NQKB1R w KQkq -,66,f1c4
r2qkb1r/p2p1ppp/2p1pn2/3N4/2b5/P3P1P1/1P1B1PBP/R2QK2R w KQkq -,-41,d5f6
1k6/1n2RK2/1p2P3/pB6/P7/7r/5p2/8 w - -,0,e7b7
rnbqkb1r/5p2/2p1pp1p/pp6/2pPP3/2N2NP1/PP3PBP/R2Q1RK1 b kq -,-13,f8g7
r5rk/pp2pp1p/1q5n/3pP3/5p2/2P2P1P/PP1N2P1/R2QR2K w - -,-139,e1e2
4rr1k/pp2n1bp/2n5/q3p1B1/4B1bP/P1N2N2/1P3PP1/R2QK2R w KQ -,54,b2b4
rnbqkb1r/ppp2ppp/8/4P3/8/3p4/PPP3PP/R1BQKBNR w KQkq -,-59,d1d3
5rk1/q3bpp1/2Bp1n2/2rPp2p/pQ2P3/P4N1P/1P3PP1/R4RK1 w - -,125,b4a4
2k2Q2/p7/1p6/2pP1P2/4p3/P6K/1q6/8 b - -,0,c8d7
r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2N5/PPPPBPPP/R1BQK2R w KQkq -,80,h1f1
2r5/1K2k3/8/8/2P5/8/8/2R5 b - -,535,c8c5
R7/P5k1/8/1K6/8/8/8/r7 w - -,0,b5c4
r1bqk2r/pp2ppbp/2n2np1/3p4/2PP4/1PN2N2/P4PPP/R1BQKB1R w KQkq -,-36,f1e2
1k6/2p5/7r/1pNP4/2P5/p6P/2K5/8 w - -,-588,c4b5
8/5K2/r7/4k3/8/8/8/8 w - -,mate -7,f7g7
rnbqkb1r/ppp2ppp/8/4P3/8/3Q4/PPP3PP/R1B1KBNR b KQkq -,-67,d8h4
8/1Q6/8/8/k2K3R/8/8/8 w - -,mate 2,d4c4
2Q5/8/8/B3k3/1P1R4/8/P5PK/8 w - -,mate 4,c8c5
r1b1kb1r/1pqp1ppp/p1n1pn2/4P3/2B5/2N2N2/PP2QPPP/R1B2RK1 b kq -,121,f6g8
2rq1r1k/pp3pRp/1b1p4/3p4/2B1P3/5P2/PB2NP1P/R6K b - -,-499,d5d4
4r1k1/p2q1pp1/1np4p/1p6/3P3B/b1P2N1P/Q4PP1/3R2K1 b - -,-282,b6c4
r1bqk1r1/ppp2p1p/2n2n1Q/4p3/3Pp3/P1P5/2P1NPPP/R1B1KB1R w KQq -,0,d4e5
8/8/4k3/8/1Q3K2/8/8/8 b - -,mate 9,e6d5
5k2/8/6p1/4Rr1p/5P1K/6P1/7P/8 b - -,419,f5f6
r1bqkb1r/3npppp/p4n2/3P4/Np1P4/8/PP2BPPP/R1BQK1NR b KQkq -,0,f6d5
8/1Q6/8/8/k6R/2K5/8/8 b - -,mate 2,a4a5
2r3k1/1p2qppp/2n1bn2/4p3/4P3/P1N1BP2/3QB1PP/5RK1 w - -,44,c3b5
8/3Q4/8/B3k3/1P1R4/8/P5PK/8 b - -,mate 3,e5f6
r1bk4/pp4Qp/8/3p1P2/4p3/1P6/1PP3PP/2KR4 w - -,mate 3,d1d5
6k1/p4pb1/2p1r1p1/5qPp/3P1p1P/8/PP2RQ2/K2R4 b - -,-57,f5g4
r2qkb1r/p2p1ppp/2p1pN2/8/2b5/P3P1P1/1P1B1PBP/R2QK2R b KQkq -,-41,d8f6
rnbqk2r/pp2bppp/2p1pn2/8/2BP1B2/2N2N2/PPP2PPP/R2QK2R w KQkq -,77,e1h1
r1bqkb1r/ppp2ppp/2np1n2/1B2p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,25,e1h1
8/8/8/3k4/1Q3K2/8/8/8 w - -,mate 5,f4f5
R4k2/1p3p1p/5p2/3q4/6Q1/8/1P1r1PPP/6K1 b - -,21,f8e7
rnbqkbnr/3p1ppp/p3p3/1p6/2BNP3/8/PPP2PPP/RNBQK2R w KQkq -,11,c4d3
8/1Q6/8/k7/7R/2K5/8/8 w - -,mate 2,c3c4
rn2kb1r/pp2pppp/5n2/2pq4/2B3b1/N1P2N2/PP1P1PPP/R1BQK2R b KQkq -,0,d5e4
r1b1kbnr/pp1p1ppp/3P1qn1/8/5P2/2N5/PPP3PP/R1BQKB1R w KQkq -,-71,d1e2
8/3Q4/5k2/B7/1P1R4/8/P5PK/8 w - -,mate 3,a5d8
1k6/2p5/7r/1PNP4/8/p6P/2K5/8 b - -,-696,b8a7
r2q1rk1/1p2b1pp/1nP1bp2/p3p3/3n4/P1NP2P1/3NPPBP/1RBQ1RK1 b - -,37,d4c6
6R1/8/8/7p/8/5nk1/7r/5K2 b - -,-677,g3f4
r1b2rk1/p2npp1p/2p2npQ/qp2p1P1/3P4/2N2P2/PPP5/2KR1BNR b - -,467,a5c7
7Q/8/8/4K3/8/1k6/4B3/8 w - -,mate 6,h8b8
r2qk2r/ppp2pp1/8/2p1P1np/2B3b1/3P1R1P/PPP3P1/R1B2Q1K w kq -,608,f3f7
3q3k/p5p1/3p1R2/1P1Pn1P1/2p5/K1P5/P2BQ3/8 b - -,39,d8a5
rn1qk2r/ppp2ppp/8/2bP1b2/4nP2/2N2N2/PPP1Q1PP/R1B1KB1R b KQkq -,57,d8e7
5k2/5p1p/6p1/2Pb4/3P1p2/rp1B4/4KPPP/1R6 w - -,-89,g2g4
r3kb1r/p2p1ppp/2p1pq2/8/2b5/P3P1P1/1P1B1PBP/R2QK2R w KQkq -,-40,d1c2
r1b2rk1/pp2ppbp/4nnp1/2P5/2P5/2N2N1P/PP3PP1/R1BBR1K1 b - -,16,e6c5
8/3B4/8/p4p1k/5P1p/P7/1Pb2KP1/8 w - -,30,g2g3
r1bqk2r/1p1p1ppp/p1n1pn2/1N4B1/1b2P3/2N5/PPP2PPP/R2QKB1R w KQkq -,71,a2a3
rnbr2k1/pp3pp1/2p1pn1p/2Pp4/3P4/2PBPNB1/2R2PPP/5RK1 b - -,63,b7b6
rn2kb1r/pp2pppp/5n2/2p5/2B1q1b1/N1P2N2/PP1P1PPP/R1BQK2R w KQkq -,22,c4e2
2rqnr2/pp1bp1kp/3p2p1/4np2/2PNP3/1PN2P2/P2QB1PP/2R2RK1 w - -,149,f3f4
8/1K2k3/8/2r5/2P5/8/8/2R5 w - -,471,b7b6
rnb1kb1r/ppp2ppp/8/4P3/7q/3Q4/PPP3PP/R1B1KBNR w KQkq -,-65,g2g3
8/3k4/4bQ2/8/3K4/8/8/8 w - -,mate 7,d4e5
8/8/6R1/P2k2P1/7P/2P5/2r5/4K3 w - -,711,g6b6
rn2k2r/ppp1qppp/8/2bP1b2/4nP2/2N2N2/PPP1Q1PP/R1B1KB1R w KQkq -,45,c1e3
8/1k2PK2/1p6/pB6/P7/7r/5p2/8 b - -,0,h3f3
8/k1p5/7r/1PNP4/8/p6P/2K5/8 w - -,-750,c5d7
r1bk4/pp4Qp/8/3R1P2/4p3/1P6/1PP3PP/2K5 b - -,mate 2,d8e8
R7/1p1k1p1p/5p2/3q4/Q7/8/1P1r1PPP/6K1 b - -,9,d5c6
7Q/8/8/4K3/8/2k5/8/3B4 w - -,mate 5,h8c8
8/6k1/3Q4/B7/1P1R4/8/P5PK/8 w - -,mate 3,d6b6
8/p2k1Q2/1p6/2pP1P2/4p3/P6K/1q6/8 b - -,4,d7d8
5k2/4R3/6p1/5r1p/5P1K/6P1/7P/8 w - -,439,e7e5
r3kb1r/p2p1ppp/2p1pq2/8/2b5/P3P1P1/1PQB1PBP/R3K2R b KQkq -,-48,c4b5
2rqr1kb/pp2pp1p/3pb1pB/7P/2n1P1P1/1NN2P2/PPP4Q/1K1R3R b - -,-202,g6g5
1r1q1rk1/5ppp/p1npbb2/3Np3/1pP1P2P/6P1/PPN2P2/R2QKB1R w KQ -,39,b2b3
6k1/5pp1/p6p/3pp1b1/8/5K1P/1r6/7R w - -,-1130,f3g3
rn2kb1r/pp2pppp/5n2/2p5/4q1b1/N1P2N2/PP1PBPPP/R1BQK2R b KQkq -,5,g4f3
3k4/p4Q2/1p3P2/2pP4/4p3/P6K/1q6/8 b - -,0,b2e5
R7/P5k1/r7/8/1K6/8/8/8 w - -,0,b4c4
2rr4/5p1k/1pn3pp/p2q4/4p1PP/P1P1B3/2QNPP2/3R2K1 b - -,-412,c6e5
1B6/8/7P/4p3/3b3k/8/8/2K5 w - -,mate 19,b8a7
2R5/r4k1p/5pp1/4p3/7P/6P1/4KP2/8 w - -,-7,c8h8
rnbqk1nr/pppp1ppp/8/2b5/2BpP3/8/PPP2PPP/RNBQK1NR w KQkq -,88,c4f7
